head,head_type,rel,tail,tail_type,position,time_text,source
任弼时,Person,AUTHORED,土地改革中的几个问题,Document,,1948年1月12日,https://www.dswxyjy.org.cn/GB/434461/434462/434829/index.html
四届全国人大一次会议在北京举行,Event,OCCURRED_IN,北京,Location,,1975年1月13日至17日,https://www.dswxyjy.org.cn/GB/434461/434462/434830/index.html
邓小平,Person,AUTHORED,精简机构是一场革命,Document,,1982年1月13日,https://www.dswxyjy.org.cn/GB/434461/434462/434830/index.html
中共中央南方局在重庆成立，主要负责长江流域以南国民党统治区中共党的组织和统战工作,Event,OCCURRED_IN,重庆,Location,,1939年1月13日,https://www.dswxyjy.org.cn/GB/434461/434462/434830/index.html
毛泽东,Person,AUTHORED,红军第四军司令部布告,Document,,1929年1月14日,https://www.dswxyjy.org.cn/GB/434461/434462/434831/index.html
毛泽东,Person,AUTHORED,关于时局的声明,Document,,1949年1月14日,https://www.dswxyjy.org.cn/GB/434461/434462/434831/index.html
毛泽东在陕甘宁边区第二届农工展览会开幕典礼上讲话,Event,OCCURRED_IN,陕甘宁边区,Location,,1940年1月16日,https://www.dswxyjy.org.cn/GB/434461/434462/434833/index.html
全国宣传部长会议在北京召开,Event,OCCURRED_IN,北京,Location,,1995年1月16日至21日,https://www.dswxyjy.org.cn/GB/434461/434462/434833/index.html
全国农业工作会议在北京举行,Event,OCCURRED_IN,北京,Location,,1991年1月18日至23日,https://www.dswxyjy.org.cn/GB/434461/434462/434835/index.html
国务院西部开发领导小组在北京召开西部地区开发会议,Event,OCCURRED_IN,北京,Location,,2000年1月19日至22日,https://www.dswxyjy.org.cn/GB/434461/434462/434836/index.html
彭德怀在西北军政委员会成立大会上讲话,Event,OCCURRED_IN,西北,Location,,1950年1月19日,https://www.dswxyjy.org.cn/GB/434461/434462/434836/index.html
毛泽东,Person,AUTHORED,抗战与外援的关系,Document,,1939年1月20日,https://www.dswxyjy.org.cn/GB/434461/434462/434837/index.html
在孙中山主持下，中国国民党在广州举行第一次全国代表大会,Event,OCCURRED_IN,广州,Location,,1924年1月20日-30日,https://www.dswxyjy.org.cn/GB/434461/434462/434837/index.html
共产国际在莫斯科召开远东各国共产党及民族革命团体第一次代表大会,Event,OCCURRED_IN,莫斯科,Location,,1922年1月21日-2月2日,https://www.dswxyjy.org.cn/GB/434461/434462/434838/index.html
中华苏维埃第二次全国代表大会在瑞金召开,Event,OCCURRED_IN,瑞金,Location,,1934年1月22日-2月1日,https://www.dswxyjy.org.cn/GB/434461/434462/434839/index.html
毛泽东,Person,LED,毛泽东主持召开最高国务会议第六次会议，讨论全国农业发展纲要草案修正稿,Event,,1956年1月25日,https://www.dswxyjy.org.cn/GB/434461/434462/434842/index.html
香港特别行政区临时立法会首次会议在深圳迎宾馆举行，范徐丽泰当选临时立法会主席,Event,OCCURRED_IN,深圳,Location,,1997年1月25日,https://www.dswxyjy.org.cn/GB/434461/434462/434842/index.html
毛泽东,Person,AUTHORED,兴国调查,Document,,1931年1月26日,https://www.dswxyjy.org.cn/GB/434461/434462/434843/index.html
毛泽东,Person,AUTHORED,中宣部宣传要点,Document,,1942年1月26日,https://www.dswxyjy.org.cn/GB/434461/434462/434843/index.html
香港特别行政区筹备委员会成立大会在北京举行,Event,OCCURRED_IN,北京,Location,,1996年1月26日,https://www.dswxyjy.org.cn/GB/434461/434462/434843/index.html
毛泽东,Person,LED,毛泽东指挥中央红军四渡赤水战役，取得跳出国民党“追剿”军重兵集团合围圈的重大胜利,Event,,1935年1月29日—3月22日,https://www.dswxyjy.org.cn/GB/434461/434462/434846/index.html
中共中央在延安召开生产动员大会，毛泽东在会上发出“自己动手”的号召,Event,OCCURRED_IN,延安,Location,,1939年2月2日,https://www.dswxyjy.org.cn/GB/434461/434463/434790/index.html
